"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 28 01:58:14 UTC 2024","Tue May 28 02:00:27 UTC 2024","132185","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Tue May 28 01:48:01 UTC 2024","Tue May 28 01:48:18 UTC 2024","16656","tests.integration.ha_tests","test_replication","","","","test_consistency","Write to primary, read data from secondaries (check consistency)."
"passed","Tue May 28 01:32:02 UTC 2024","Tue May 28 01:43:48 UTC 2024","706475","tests.integration.new_relations","test_new_relations","","","","test_deploy_charms","Deploy both charms (application and database) to use in the tests."
"passed","Tue May 28 01:51:09 UTC 2024","Tue May 28 01:51:12 UTC 2024","2695","tests.integration","test_password_rotation","","","","test_password_from_secret_same_as_cli","Checking if password is same as returned by CLI.

    I.e. we're manipulating the secret we think we're manipulating.
    "
"passed","Tue May 28 01:43:48 UTC 2024","Tue May 28 01:44:11 UTC 2024","22566","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"passed","Tue May 28 01:56:28 UTC 2024","Tue May 28 01:58:13 UTC 2024","105336","tests.integration.ha_tests","test_self_healing","","","","test_freeze_db_process[postgres]",""
"passed","Tue May 28 01:59:04 UTC 2024","Tue May 28 02:00:51 UTC 2024","106843","tests.integration","test_subordinates","","","","test_scale_down",""
"passed","Tue May 28 01:46:23 UTC 2024","Tue May 28 01:46:23 UTC 2024","5","tests.integration","test_charm","","","","test_database_is_up[2]",""
"passed","Tue May 28 02:01:09 UTC 2024","Tue May 28 02:01:39 UTC 2024","30034","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[/snap/charmed-postgresql/[0-9]*/usr/bin/patroni]",""
"passed","Tue May 28 01:45:58 UTC 2024","Tue May 28 01:51:09 UTC 2024","311434","tests.integration","test_password_rotation","","","","test_password_rotation","Test password rotation action."
"passed","Tue May 28 01:55:30 UTC 2024","Tue May 28 01:55:56 UTC 2024","25681","tests.integration.ha_tests","test_self_healing","","","","test_kill_db_process[postgres]",""
