"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 01:29:30 UTC 2024","Tue Apr 16 01:43:15 UTC 2024","824509","tests.integration.new_relations","test_new_relations","","","","test_deploy_charms","Deploy both charms (application and database) to use in the tests."
"passed","Tue Apr 16 02:07:18 UTC 2024","Tue Apr 16 02:12:49 UTC 2024","331796","tests.integration","test_charm","","","","test_persist_data_through_primary_deletion","Test data persists through a primary deletion."
"passed","Tue Apr 16 02:06:59 UTC 2024","Tue Apr 16 02:15:31 UTC 2024","512000","tests.integration","test_backups","","","","test_invalid_config_and_recovery_after_fixing_it","Test that the charm can handle invalid and valid backup configurations."
"failed","Tue Apr 16 02:00:22 UTC 2024","Tue Apr 16 02:01:29 UTC 2024","67248","tests.integration.ha_tests","test_self_healing","","","","test_full_cluster_restart[SIGKILL-postgres]","This tests checks that a cluster recovers from a full cluster restart.

    The test can be called a full cluster crash when the signal sent to the OS process
    is SIGKILL.
    "
"passed","Tue Apr 16 01:50:10 UTC 2024","Tue Apr 16 01:50:22 UTC 2024","11712","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
"passed","Tue Apr 16 01:30:45 UTC 2024","Tue Apr 16 01:47:42 UTC 2024","1017409","tests.integration","test_db","","","","test_mailman3_core_db","Deploy Mailman3 Core to test the 'db' relation."
"skipped","Tue Apr 16 01:48:31 UTC 2024","Tue Apr 16 01:48:31 UTC 2024","0","tests.integration","test_tls","","","","test_restart_machine",""
"passed","Tue Apr 16 01:47:09 UTC 2024","Tue Apr 16 01:47:09 UTC 2024","4","tests.integration","test_charm","","","","test_database_is_up[2]",""
"passed","Tue Apr 16 01:43:15 UTC 2024","Tue Apr 16 01:43:39 UTC 2024","24360","tests.integration.new_relations","test_new_relations","","","","test_no_read_only_endpoint_in_standalone_cluster","Test that there is no read-only endpoint in a standalone cluster."
"passed","Tue Apr 16 01:29:22 UTC 2024","Tue Apr 16 01:29:46 UTC 2024","23745","tests.integration","test_tls","","","","test_deploy_active","Build the charm and deploy it."
"passed","Tue Apr 16 01:52:39 UTC 2024","Tue Apr 16 02:03:06 UTC 2024","626970","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Tue Apr 16 01:45:41 UTC 2024","Tue Apr 16 02:05:24 UTC 2024","1183073","tests.integration.ha_tests","test_restore_cluster","","","","test_cluster_restore","Recreates the cluster from storage volumes."
