"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 06 01:28:26 UTC 2024","Thu Jun 06 01:42:17 UTC 2024","831736","tests.integration.ha_tests","test_replication","","","","test_build_and_deploy","Build and deploy three unit of PostgreSQL."
"passed","Thu Jun 06 01:48:32 UTC 2024","Thu Jun 06 01:51:38 UTC 2024","185501","tests.integration.new_relations","test_new_relations","","","","test_two_applications_doesnt_share_the_same_relation_data","Test that two different application connect to the database with different credentials."
"passed","Thu Jun 06 01:28:26 UTC 2024","Thu Jun 06 01:47:35 UTC 2024","1149102","tests.integration.ha_tests","test_upgrade","","","","test_deploy_latest","Simple test to ensure that the PostgreSQL and application charms get deployed."
"passed","Thu Jun 06 01:44:47 UTC 2024","Thu Jun 06 01:51:42 UTC 2024","414712","tests.integration","test_subordinates","","","","test_scale_up",""
"passed","Thu Jun 06 01:27:48 UTC 2024","Thu Jun 06 01:42:00 UTC 2024","852179","tests.integration","test_password_rotation","","","","test_deploy_active","Build the charm and deploy it."
"passed","Thu Jun 06 02:02:45 UTC 2024","Thu Jun 06 02:10:10 UTC 2024","445425","tests.integration","test_backups","","","","test_invalid_config_and_recovery_after_fixing_it","Test that the charm can handle invalid and valid backup configurations."
"passed","Thu Jun 06 01:57:11 UTC 2024","Thu Jun 06 01:57:54 UTC 2024","42684","tests.integration.ha_tests","test_self_healing","","","","test_restart_db_process[postgres]",""
"passed","Thu Jun 06 01:53:00 UTC 2024","Thu Jun 06 02:03:30 UTC 2024","630521","tests.integration.new_relations","test_new_relations","","","","test_relation_data_is_updated_correctly_when_scaling","Test that relation data, like connection data, is updated correctly when scaling."
"passed","Thu Jun 06 01:52:35 UTC 2024","Thu Jun 06 01:53:00 UTC 2024","24505","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_request_multiple_databases","Test that an application can request additional databases using the same interface."
"passed","Thu Jun 06 01:51:42 UTC 2024","Thu Jun 06 01:53:03 UTC 2024","81459","tests.integration","test_subordinates","","","","test_scale_down",""
"skipped","Thu Jun 06 01:46:26 UTC 2024","Thu Jun 06 01:46:26 UTC 2024","0","tests.integration","test_tls","","","","test_restart_machine",""
"passed","Thu Jun 06 01:48:07 UTC 2024","Thu Jun 06 01:48:08 UTC 2024","1067","tests.integration","test_password_rotation","","","","test_db_connection_with_empty_password","Test that user can't connect with empty password."
"broken","Thu Jun 06 01:47:37 UTC 2024","Thu Jun 06 01:58:39 UTC 2024","662010","tests.integration.ha_tests","test_upgrade","","","","test_upgrade_from_edge",""
"passed","Thu Jun 06 01:51:38 UTC 2024","Thu Jun 06 01:52:06 UTC 2024","27993","tests.integration.new_relations","test_new_relations","","","","test_an_application_can_connect_to_multiple_database_clusters","Test that an application can connect to different clusters of the same database."
"broken","Thu Jun 06 02:02:11 UTC 2024","Thu Jun 06 02:02:45 UTC 2024","34179","tests.integration","test_backups","","","","test_restore_on_new_cluster","Test that is possible to restore a backup to another PostgreSQL cluster."
"passed","Thu Jun 06 01:48:08 UTC 2024","Thu Jun 06 01:48:17 UTC 2024","8678","tests.integration","test_password_rotation","","","","test_no_password_change_on_invalid_password","Test that in general, there is no change when password validation fails."
